
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,Vaccine
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-20 08:17:55 +0000,2021-08-20 08:17:55 +0000,count/min,14.5,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-20 08:19:26 +0000,2021-08-20 08:19:26 +0000,count/min,14.0,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-20 08:34:29 +0000,2021-08-20 08:34:29 +0000,count/min,15.5,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-20 08:44:31 +0000,2021-08-20 08:44:31 +0000,count/min,14.0,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-20 08:56:04 +0000,2021-08-20 08:56:04 +0000,count/min,14.5,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-20 09:08:37 +0000,2021-08-20 09:08:37 +0000,count/min,15.5,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-20 09:13:08 +0000,2021-08-20 09:13:08 +0000,count/min,13.5,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-20 11:48:27 +0000,2021-08-20 11:48:27 +0000,count/min,16.0,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-20 11:57:57 +0000,2021-08-20 11:57:57 +0000,count/min,13.5,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-20 12:00:27 +0000,2021-08-20 12:00:27 +0000,count/min,14.0,0
