Vaccine,type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,HKAlgorithmVersion
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-10 08:56:18 +0000,2019-01-10 08:57:24 +0000,ms,26.51414680480960,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-10 10:39:19 +0000,2019-01-10 10:40:21 +0000,ms,28.32843017578130,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-10 23:19:09 +0000,2019-01-10 23:20:14 +0000,ms,26.46578025817870,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-11 13:20:12 +0000,2019-01-11 13:22:23 +0000,ms,81.68231201171880,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-11 21:33:06 +0000,2019-01-11 21:36:17 +0000,ms,83.91122436523440,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-12 02:25:12 +0000,2019-01-12 02:27:23 +0000,ms,56.609405517578100,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-12 06:27:29 +0000,2019-01-12 06:28:35 +0000,ms,37.63060760498050,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-12 08:27:31 +0000,2019-01-12 08:28:36 +0000,ms,35.006248474121100,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-12 10:27:47 +0000,2019-01-12 10:28:48 +0000,ms,89.7879409790039,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-12 12:27:31 +0000,2019-01-12 12:28:35 +0000,ms,49.673309326171900,
