Start_Date,Start_Time,Heartrate
140,2021-08-25,00:02:18,82.0
141,2021-08-25,00:06:55,81.5
142,2021-08-25,00:19:53,80.33333333333333
143,2021-08-25,00:08:37,82.0
144,2021-08-25,00:25:11,79.0
145,2021-08-25,00:28:56,77.0
146,2021-08-25,00:26:43,79.0
147,2021-08-25,00:37:08,76.0
148,2021-08-25,00:37:18,76.0
149,2021-08-25,00:35:36,76.0
150,2021-08-25,02:20:34,71.0
151,2021-08-25,01:50:11,70.0
152,2021-08-25,03:20:18,66.0
153,2021-08-25,02:31:50,68.5
154,2021-08-25,03:31:55,67.5
155,2021-08-25,03:41:49,68.0
156,2021-08-25,03:42:50,68.0
157,2021-08-25,03:58:12,70.0
158,2021-08-25,03:49:30,68.5
159,2021-08-25,04:25:51,66.0
160,2021-08-25,04:27:23,66.0
