Device,Start_Date,Start_Time,End_Date,End_Time,0
HK Apple Watch,8/31/21,4:52:27,8/31/21,4:52:27,0
HK Apple Watch,8/31/21,5:07:49,8/31/21,5:07:49,0
HK Apple Watch,8/31/21,4:33:10,8/31/21,4:33:10,0
HK Apple Watch,8/31/21,5:20:27,8/31/21,5:20:27,0
HK Apple Watch,8/31/21,5:25:44,8/31/21,5:25:44,0
HK Apple Watch,8/31/21,5:28:38,8/31/21,5:28:38,0
HK Apple Watch,8/31/21,5:39:03,8/31/21,5:39:03,0
HK Apple Watch,8/31/21,5:49:38,8/31/21,5:49:38,0
HK Apple Watch,8/31/21,5:57:09,8/31/21,5:57:09,0
HK Apple Watch,8/31/21,5:23:11,8/31/21,5:23:11,0
HK Apple Watch,8/31/21,22:11:43,8/31/21,22:11:43,0
HK Apple Watch,8/31/21,22:43:49,8/31/21,22:43:49,0
HK Apple Watch,9/1/21,0:04:03,9/1/21,0:04:03,0
HK Apple Watch,9/1/21,0:03:02,9/1/21,0:03:02,0
HK Apple Watch,9/1/21,0:23:31,9/1/21,0:23:31,0
HK Apple Watch,9/1/21,1:26:40,9/1/21,1:26:40,0
HK Apple Watch,9/1/21,0:32:33,9/1/21,0:32:33,0
HK Apple Watch,8/31/21,23:53:07,8/31/21,23:53:07,0
HK Apple Watch,9/1/21,2:15:50,9/1/21,2:15:50,0
HK Apple Watch,9/1/21,2:20:06,9/1/21,2:20:06,0
HK Apple Watch,9/1/21,23:06:33,9/1/21,23:06:33,0
HK Apple Watch,9/1/21,22:05:44,9/1/21,22:05:44,0
HK Apple Watch,9/1/21,23:35:20,9/1/21,23:35:20,0
HK Apple Watch,9/1/21,23:13:14,9/1/21,23:13:14,0
HK Apple Watch,9/1/21,23:57:46,9/1/21,23:57:46,0
HK Apple Watch,9/1/21,23:36:42,9/1/21,23:36:42,0
HK Apple Watch,9/1/21,23:53:19,9/1/21,23:53:19,0
HK Apple Watch,9/2/21,0:01:53,9/2/21,0:01:53,0
HK Apple Watch,9/2/21,0:03:05,9/2/21,0:03:05,0
HK Apple Watch,9/2/21,0:07:22,9/2/21,0:07:22,0
HK Apple Watch,9/2/21,0:14:54,9/2/21,0:14:54,0
HK Apple Watch,9/2/21,0:12:30,9/2/21,0:12:30,0
HK Apple Watch,9/2/21,0:19:32,9/2/21,0:19:32,0
HK Apple Watch,9/2/21,0:25:42,9/2/21,0:25:42,0
HK Apple Watch,9/2/21,0:31:52,9/2/21,0:31:52,0
HK Apple Watch,9/2/21,0:36:19,9/2/21,0:36:19,0
HK Apple Watch,9/2/21,0:30:29,9/2/21,0:30:29,0
HK Apple Watch,9/2/21,0:51:54,9/2/21,0:51:54,0
HK Apple Watch,9/2/21,1:04:04,9/2/21,1:04:04,0
HK Apple Watch,9/2/21,0:59:57,9/2/21,0:59:57,0
HK Apple Watch,9/2/21,0:53:37,9/2/21,0:53:37,0
HK Apple Watch,9/2/21,1:07:50,9/2/21,1:07:50,0
