date,value_x,value_y,Vaccine
2021-10-20 04:00:00+00:00,17.75,28.9471492767334,0.0
2021-10-20 06:00:00+00:00,15.25,27.6360263824463,0.0
2021-10-21 06:00:00+00:00,14.75,27.8438720703125,0.0
2021-10-21 08:00:00+00:00,12.75,30.7418689727783,0.0
2021-10-21 10:00:00+00:00,14.5,33.3241653442383,0.0
2021-10-22 06:00:00+00:00,16.5,28.8416576385498,0.0
2021-10-22 08:00:00+00:00,14.0,17.9843673706055,0.0
2021-10-22 10:00:00+00:00,14.25,92.0522918701172,0.0
2021-10-22 12:00:00+00:00,13.0,65.5281448364258,0.0
2021-10-27 06:00:00+00:00,14.5,59.1174659729004,0.0
2021-10-27 08:00:00+00:00,14.0,48.847339630127,0.0
2021-10-27 12:00:00+00:00,13.5,57.0394592285156,0.0
2021-10-28 06:00:00+00:00,15.5,18.4136505126953,0.0
2021-10-28 08:00:00+00:00,13.5,19.9468040466309,0.0
2021-11-01 06:00:00+00:00,15.5,17.5777505337446,0.0
2021-11-01 08:00:00+00:00,15.0,19.7436695098877,0.0
2021-11-02 02:00:00+00:00,21.5,25.8112144470215,0.0
2021-11-02 06:00:00+00:00,20.25,18.7132968902588,0.0
2021-11-02 08:00:00+00:00,19.0,26.3201446533203,0.0
2021-11-03 00:00:00+00:00,17.0,12.666557312011735,0.0
2021-11-03 02:00:00+00:00,15.5,19.5671920776367,0.0
2021-11-03 04:00:00+00:00,16.0,45.4883232116699,0.0
2021-11-03 06:00:00+00:00,19.0,36.8493537902832,0.0
2021-11-03 08:00:00+00:00,15.0,76.8256988525391,0.0
2021-11-04 02:00:00+00:00,22.0,41.8889884948731,0.0
2021-11-04 04:00:00+00:00,17.25,30.212880134582498,0.0
2021-11-04 06:00:00+00:00,15.0,48.7474365234375,0.0
2021-11-04 08:00:00+00:00,12.5,139.486328125,0.0
2021-11-11 06:00:00+00:00,12.0,18.6614570617676,0.0
2021-11-24 20:00:00+00:00,17.0,32.8409996032715,0.0
2021-11-25 02:00:00+00:00,18.5,48.638215065002456,0.0
2021-11-25 04:00:00+00:00,17.0,26.67527389526365,0.0
2021-11-25 06:00:00+00:00,15.5,13.162446975708,0.0
2021-11-25 08:00:00+00:00,16.75,34.7670822143555,0.0
2021-11-25 10:00:00+00:00,16.0,21.5261478424072,0.0
2021-11-25 20:00:00+00:00,15.0,21.7097320556641,0.0
2022-01-11 04:00:00+00:00,17.5,12.765520095825199,0.0
2022-01-11 06:00:00+00:00,17.0,26.3948383331299,0.0
2022-01-11 08:00:00+00:00,15.0,14.064582824707,0.0
2022-01-11 10:00:00+00:00,14.25,31.8217697143555,0.0
2022-01-11 12:00:00+00:00,13.5,22.4680328369141,0.0
2022-01-12 02:00:00+00:00,19.0,10.9230260848999,0.0
2022-01-12 04:00:00+00:00,19.0,14.6308746337891,0.0
2022-01-12 06:00:00+00:00,18.25,17.0486431121826,0.0
2022-01-12 08:00:00+00:00,16.0,51.5024261474609,0.0
2022-01-12 10:00:00+00:00,14.5,50.8514976501465,0.0
